GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
81,1504.9629,4083.2602,5158.5148,0.0,0.0,0.0,-4287.9726,-35079.7285,1872.254,18697.5766,-5161.7062,151.88758416000002,-8051.132599999997,-5009.818615839999,-13060.951215839998
82,1450.5542,4096.5988,5183.1455,0.0,0.0,0.0,-4266.3829,-35283.8165,1865.0468,18772.5151,-5110.1966,150.73294968,-8182.339,-4959.46365032,-13141.80265032
83,1500.129,4124.3911,5172.7908,0.0,0.0,0.0,-4239.8096,-35288.6279,1871.5312,18781.5545,-5071.7774,151.54609752,-8078.0409,-4920.23130248,-12998.272202479999
84,1504.9475,4041.1441,5189.4367,0.0,0.0,0.0,-4241.7773,-35165.9535,1848.9437,18679.2554,-5155.8577,150.69748032,-8144.003400000005,-5005.1602196799995,-13149.163619680006
85,1505.6118,4081.291,5193.8633,0.0,0.0,0.0,-4276.7708,-35066.0024,1862.9979,18688.0518,-5191.7822,153.11880072,-8010.957399999996,-5038.66339928,-13049.620799279995
86,1503.1701,4137.6428,5213.4898,0.0,0.0,0.0,-4294.852,-35173.9504,1837.8792,18707.7321,-5134.4993,152.93295215999999,-8068.8884,-4981.56634784,-13050.45474784
87,1493.3085,4058.2779,5185.6913,0.0,0.0,0.0,-4253.4701,-35209.7789,1855.6404,18697.505,-5104.1903,147.55698071999998,-8172.825899999996,-4956.63331928,-13129.459219279996
88,1435.7792,4097.9706,5211.3526,0.0,0.0,0.0,-4297.6212,-35499.4579,1896.6401,18855.2965,-4941.8902,147.18890736,-8300.040099999998,-4794.70129264,-13094.741392639999
89,1541.6848,4112.4577,5194.7411,0.0,0.0,0.0,-4259.9691,-35606.3588,1860.9086,18814.1576,-4852.7909,149.21307,-8342.378100000005,-4703.57783,-13045.955930000006
90,1484.7914,4072.7354,5249.376,0.0,0.0,0.0,-4254.7209,-35406.0039,1882.4957,18821.8532,-5029.3942,148.33273608,-8149.473100000003,-4881.061463919999,-13030.534563920002
91,1536.2264,4107.8394,5164.1164,0.0,0.0,0.0,-4333.831,-35243.2228,1828.4272,18775.4481,-5091.1286,147.10910328,-8164.996300000006,-4944.0194967200005,-13109.015796720007
92,1493.0856,4114.0266,5206.3118,0.0,0.0,0.0,-4252.4122,-35492.2302,1834.1094,18827.516,-4951.7628,151.19768016,-8269.592999999997,-4800.56511984,-13070.158119839998
93,1516.3689,4038.4515,5185.9613,0.0,0.0,0.0,-4222.3704,-35240.4618,1838.6206,18735.8427,-5060.5128,149.15880072000002,-8147.587199999998,-4911.353999280001,-13058.941199279998
94,1513.1367,4061.0776,5200.8677,0.0,0.0,0.0,-4260.024,-35223.2627,1871.7469,18770.4126,-5153.5098,146.6702928,-8066.045200000004,-5006.839507199999,-13072.884707200004
95,1495.9451,4091.2774,5204.7165,0.0,0.0,0.0,-4224.5356,-35514.2045,1836.3624,18725.6158,-4893.2033,149.86736424,-8384.8229,-4743.33593576,-13128.15883576
96,1502.2877,4056.7017,5178.5338,0.0,0.0,0.0,-4197.8524,-35405.0173,1864.2047,18701.2795,-4916.7813,151.21825992,-8299.8623,-4765.56304008,-13065.425340079999
97,1545.886,4084.1123,5165.7726,0.0,0.0,0.0,-4256.351,-35461.0084,1862.9289,18743.698,-4940.1848,147.87171576,-8314.961599999999,-4792.31308424,-13107.274684239997
98,1479.1892,4044.8889,5144.2044,0.0,0.0,0.0,-4272.0523,-35480.6061,1898.0943,18810.071,-4882.6975,145.05402312,-8376.210599999999,-4737.64347688,-13113.85407688
99,1468.7134,4121.6574,5179.7219,0.0,0.0,0.0,-4309.0124,-35455.9976,1894.9485,18742.3018,-4855.5538,145.57019832,-8357.667000000001,-4709.98360168,-13067.650601680001

Receptor Energy Terms
